TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PASEO DEL PUENTE;CR 6 # 16 - 60 ;PIEDECUESTA;SANTANDER;Paseo Del Puente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN ALBERTO;CR 4 # 4 - 5 ;SAN ALBERTO;CESAR;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA TORCOROMA;CL 53 # 17 - 77 ;BARRANCABERMEJA;SANTANDER;Torcoroma ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA CAMPO HERMOSO;CL 45 # 0 - 120 ;BUCARAMANGA;SANTANDER;Campo Hermoso ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA LA ROSITA;AV LA ROSITA CL 17 # 86 ;BUCARAMANGA;SANTANDER;La Concordia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLA  CARACOLI;CL 31 # 29 - ;FLORIDABLANCA;SANTANDER;Ca§averal Oriental ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA BOLIVAR;CR 21 # 41 - 44 ;BUCARAMANGA;SANTANDER;Bol°var ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA LAS GRANJAS;TV 43 D # 59 - 6 ;BARRANCABERMEJA;SANTANDER;Las Granjas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA SAN ALONSO;CL 14 # 30 - 28 ;BUCARAMANGA;SANTANDER;San Alonso ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA COLOMBIA;CR 19 # 51 - 16 ;BARRANCABERMEJA;SANTANDER;Colombia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIMITARRA CENTRO;CR 3 A # 6 - 39 ;CIMITARRA;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA PARQUE ROMERO;CR 12 # 42 - 40 ;BUCARAMANGA;SANTANDER;Garc°a Rovira ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON MALPASO;CL 104 E # 9 - 206 ;GIRON;SANTANDER;Mal Paso ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA PORTAL NORTE;KM 2 VIA AL MAR # 0 - 26;BUCARAMANGA;SANTANDER;Kennedy ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EL CARRETERO;CL 3 # 13 - 20 ;AGUACHICA;CESAR;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA LA LIBERTAD;CL 72 # 21 - 90 ;BARRANCABERMEJA;SANTANDER;La Libertad ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA EL PRADO;CR 33 # 41 - 25 ;BUCARAMANGA;SANTANDER;El Prado ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA SAN MATEO;Avenida 3 # 25-61 CC Mayorista;CUCUTA;N. DE SANTANDER;SAN MATEO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCORRO PLAZA;CR 17 # 10 - 38 ;SOCORRO;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARQUE DE LOS NI•OS;CL 32 # 26 - 28 ;BUCARAMANGA;SANTANDER;PARQUE DE LOS NI•OS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA LA FORTUNA;QUEBRADA BLANCA VEREDA LA FORTUNA LOCAL 2;BARRANCABERMEJA;SANTANDER;La Fortuna ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILLA MERCEDES;CR 15 # 1 N - 36 ;BUCARAMANGA;SANTANDER;La Planada ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOS PATIOS PRINCIPAL; AV 10 K 72 A CL 27 28;LOS PATIOS;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATIOS SABANA;AV 4 30 61 BRR CENTRO;LOS PATIOS;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN VICENTE;CL 11 # 15 - 27;SAN VICENTE DE CHUCURI;SANTANDER;Placitas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA MERCADO;CL 8 # 8 - 11 ;FLORIDABLANCA;SANTANDER;Casco Antiguo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIEDECUSTA MERCADO;CR 5 # 9 - 63 ;PIEDECUESTA;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA CALDAS;CR 33 # 112 - 23 -43-47;FLORIDABLANCA;SANTANDER;Caldas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A CIRVUNVALAR;CR 11 # 19 - 186 ;OCA•A;N. DE SANTANDER;CIRCUNVALAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON POBLADO;CR 26 # 40 - 39 ;GIRON;SANTANDER;Poblado ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PABLO VI;CR 5 # 6 - 25 ;SAN GIL;SANTANDER;Pablo VI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZULIA;CL 10 # 1 - 22 ;EL ZULIA;N. DE SANTANDER;EL TRIUNFO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON MALECON;CL 27 # 24 - 23 ;GIRON;SANTANDER;El Tejar ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A MERCADO;CALLE 10  CARRERA 14 Y 15 # 14-59;OCA•A;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERM CINCUENTENARIO;CRA 34-38 PAR ;BARRANCABERMEJA;SANTANDER;Las Brisas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA PROVENZA;MZ 28 CL 105 - 22  ;BUCARAMANGA;SANTANDER;Provenza ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIONEGRO STDER;CL 13 # 7 - 84;RIONEGRO;SANTANDER;La Pesa ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
