TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VROSAR VILLA ANTIGUA;VILLA DEL ROSARIO AUT CUCUTA - VENEZUELA;CUCUTA;N. DE SANTANDER;villa antigua ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA CECI;CL 2 # 3 - 44 ;CUCUTA;N. DE SANTANDER;Do§a ceci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCUESTA DE LA CUESTA;KM 14 VIA PIEDECUESTA EDS MI ISLA;PIEDECUESTA;SANTANDER;Guatiguara ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC VILLA CAMILA;AV 4 # 1 - 89 ;CUCUTA;N. DE SANTANDER;San luis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVAR SANTA ROSA;CARRERA 13 # 13-33 BARRIO LAS ACACIAS;SANTA ROSA;BOLIVAR;las acacias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCT CEIBA II;MANZANA 16 CALLE 5 BN- CALLE 6N Y AV 3E Y 7E;CUCUTA;N. DE SANTANDER;LA CEIBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCT TRIGAL;LOTE 9 Y 10 MZ T CORREGIMIENTO EL SALADO;CUCUTA;N. DE SANTANDER;Trigal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANTIOQ YONDO;CR 57 # 51 - 61 ;YONDO;ANTIOQUIA;JORGE ELIECER GAITAN ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA EL RODEO;MZ 46 URB SAN FERNANDO EL RODEO ;CUCUTA;N. DE SANTANDER;EL RODEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA PINAR DEL RIO;AV 10 # 61 - 60 ;LOS PATIOS;N. DE SANTANDER;PINAR DEL RIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDABLANCA LA 200;CL 200 # 1 - 275;FLORIDABLANCA;SANTANDER;VILLA MARGARITA - SECTOR RIO FRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA PT PROVENZA;AUT FLORIDA # 86-30 BARRIO DIAMNATE II;BUCARAMANGA;SANTANDER;DIAMANTE II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCT MAGDALENA;AV 20 # 23-65 BARRIO MAGDALENA;CUCUTA;N. DE SANTANDER;BARRIO MAGDALENA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCT KENNEDY; CL 4 N # 18 - 44;CUCUTA;N. DE SANTANDER;Juan Atalaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARMEN CHUCURI;CL 5 # 3 - 38;EL CARMEN DE CHUCURI;SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON RINCON;CR 18 # 31 B - 41 BODEGA 3;GIRON;SANTANDER;Rinc¢n de Gir¢n ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA INSULA;AVENIDA 7 NO 4-50;CUCUTA;N. DE SANTANDER;La insula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA OSPINA PEREZ;CLL 32N NRO 27-016 (C21 5 02);CUCUTA;N. DE SANTANDER;OSPINA PEREZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON ALDEA;CR 34 C # 32 B - 17 LOCAL 101 EDIFICIO;GIRON;SANTANDER;Alcantara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLA SANTANA;CRA 11 NO. 7-29;FLORIDABLANCA;SANTANDER;SANTA ANA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA CALLE 34;CRA 14 ENTRE CALLE 34 Y 35 NO. 4-50;BUCARAMANGA;SANTANDER;centro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LA UNIVERSIDAD PAMPLONA;CARRERA 3 No 3-11/25 y/o CALLE 3 No 3-02/04/06;PAMPLONA;N. DE SANTANDER;UNIVERSIDAD ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILLAROSA LA PALMITA;Carrera 8 No 15-17 Barrio La Palmita;VILLA DEL ROSARIO;N. DE SANTANDER;LA PALMITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CABECERA DEL LLANO;CARRERA 35 NO 54-09;BUCARAMANGA;SANTANDER;Cabecera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOCONO VILL ROSARIO;VIA BOCONO HACIENDA SAN PEDRO LOTE 2-A LOCALES 9|10|11|12|13;VILLA DEL ROSARIO;N. DE SANTANDER;Bocono;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUEVO SOTOMAYOR;CARRERA 27 No 48-48 BARRIO SOTOMAYOR;BUCARAMANGA;SANTANDER;Sotomayor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATIOS PISAREAL;AVENIDA 10 No 1-72 ;LOS PATIOS;N. DE SANTANDER;PISAREAL - LOS PATIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RUITOQUE BAJO;EL PALOMAR LOTE # 1 ( VIA FLORIDABLANCA - ACAPULCO );FLORIDABLANCA;SANTANDER;La Hormiga ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA EL ROSAL;Calle 21 A #0B-101;CUCUTA;N. DE SANTANDER;EL ROSAL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA GUAIMARAL;Av. 11E No 10N-16B;CUCUTA;N. DE SANTANDER;Guaimaral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINOS BATALLON;Carrera ˇ33 #17-68;BUCARAMANGA;SANTANDER;Los Pinos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA NIZA;CALLE 18 AN ENTRE AV 18E Y AVD RIO;CUCUTA;N. DE SANTANDER;Niza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA AVENIDA TERCERA;AVENIDA 3 # 6 - 03 CENTRO;CUCUTA;N. DE SANTANDER;LATINO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA MORRORICO;CALLE 32 NO 48-07;BUCARAMANGA;SANTANDER;Morrorico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA LOS OLIVOS;Calle 1 No 46 B-47 Barrio Antonia santos;CUCUTA;N. DE SANTANDER;ANTONIA SANTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BM SANLORENZO PROVEN;CL  112  20  45;BUCARAMANGA;SANTANDER;VIVEROS DE PROVENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMG NEOMUNDO;CL 89 TV ORIENTAL 69;BUCARAMANGA;SANTANDER;LAGOS DEL CACIQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMG CENTRO ABASTOS;VIA PALENQUE CAFê MADRID  44 96 BG 14 LC 2;BUCARAMANGA;SANTANDER;Centro Abastos ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA UNICENTRO;CL 20N  4 25  BRR TASAJERO;CUCUTA;N. DE SANTANDER;Tasajero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLA VILLABEL;CR 11 17 56 80  CL 19 11 32 BRR VILLABEL;FLORIDABLANCA;SANTANDER;VILLABEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA GUARIN; CL 32  33A  75;BUCARAMANGA;SANTANDER;Gal†n ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA EL CONTENTO;CL 11  11  42 BRR LLANO;CUCUTA;N. DE SANTANDER;El contento ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA LA CUMBRE; CL 29A  9E  46;FLORIDABLANCA;SANTANDER;La cumbre ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA AEROPUERTO;CL 5  1 90 VDA DOS ESQUINAS;CUCUTA;N. DE SANTANDER;EL AEROPUERTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA CHAPINERO PRINC;AV 1 12B 105;CUCUTA;N. DE SANTANDER;chapinero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA ALTO PAMPLONITA;CL 6 9 116;CUCUTA;N. DE SANTANDER;ALTO PAMPLONITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMEJA EL CENTRO BCA;CA LA LUCHA VRD PUEBLO REGAO;BARRANCABERMEJA;SANTANDER;Corregimiento el Centro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA CUNDINAMARCA;CL 10 16 46 BRR CUNDINAMARCA;CUCUTA;N. DE SANTANDER;Cundinamarca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA KENNEDY;CL 17 12 101 BRR KENNEDY;BUCARAMANGA;SANTANDER;KENNEDY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA GAITAN;CL 16 10 37;BUCARAMANGA;SANTANDER;GAITAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA PALMIRA;CL 50 28 15 BRR PALMIRA;BARRANCABERMEJA;SANTANDER;palmira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA GAITAN;CL 17 22 24;CUCUTA;N. DE SANTANDER;Gait†n ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VROSARIO TRAPICHE;sabana de los trapiches lote 2 km 7+000 villa r de rosario ;VILLA DEL ROSARIO;N. DE SANTANDER;EL TRAPICHE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOL CANTAGALLO;CR 4A 5 41 BRR NUEVO GALAN;CANTAGALLO;BOLIVAR;CARRERA 4 # 5- 45 CANTA GALLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A CENTRO;CL  12 3 9;OCA•A;N. DE SANTANDER;OCA•A CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATIOS TASAJERO;CL 21 AV 4 BRR TASAJERO;LOS PATIOS;N. DE SANTANDER;TASAJERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGCHCA CALLE 10;CL 10A 39A 04;AGUACHICA;CESAR;MARIA EUGENIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRO ANILLO VIAL;CC PLAZA SAN JUAN VRD RIO FRIO LT2;GIRON;SANTANDER;RIO FRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMG ALTOS CABECERA;CR 40 46 66;BUCARAMANGA;SANTANDER;ALTOS DE CABECERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A AV FERNANDEZ;CL 4 28B 32 BRR PRIMERO DE MAYO;OCA•A;N. DE SANTANDER;1 de mayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DARK STORE;CL 70 43W 20 KM 4;BUCARAMANGA;SANTANDER;zona industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJ PASO NIVEL;CL 61 34A 39;BARRANCABERMEJA;SANTANDER;internacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CESAR SAN ALBERTO PLAZA;CR 6B 2A 33;SAN ALBERTO;CESAR;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA COMERCIO;CL 49 5 72;BARRANCABERMEJA;SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA LA CEIBA;AV 3 E 1 98;CUCUTA;N. DE SANTANDER;la ceiba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA BELEN;AV 27 26 33;CUCUTA;N. DE SANTANDER;belen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAMPLONA CALLE 9;CL 9 8 104 108;PAMPLONA;N. DE SANTANDER;UBR ROMERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA EL ESCOBAL;CL 7 4 162;CUCUTA;N. DE SANTANDER;EL ESCOBAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC•A BELLA TERRA;LT 1 MZ COMERCIAL EL TEJAR EL BAMBO;OCA•A;N. DE SANTANDER;EL RAMAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRON CASCO ANTIGUO;CL 31 25 18;GIRON;SANTANDER;CASCO ANTIGUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGCHCA CAMPO SERRANO;CL 5 7 84;AGUACHICA;CESAR;Campo Serrano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA LOS LIBERTADORES;CL 17A 2E 98 116 101;CUCUTA;N. DE SANTANDER;CAOBOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCUEST EL MOLINO;LT DE TERRENO 2 VRD LAS AMARILLAS;PIEDECUESTA;SANTANDER;vereda las amarillas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOS MIRADOR DEL LAGO;MIRADOR DEL LAGO LT 5 VRD MESA DE JERIDAS;LOS SANTOS;SANTANDER;LINDEROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M STOS LINDEROS;LT 2 CONDOMINIO MESA DE LOS SANTOS;LOS SANTOS;SANTANDER;LINDEROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA PLAYA HERMOSA;AV 17E LT 1 MZ 1;CUCUTA;N. DE SANTANDER;PLAYA HERMOSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAMPLO PARQ PRINCIPAL;CL 6 6 57;PAMPLONA;N. DE SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA ALFONSO LOPEZ;CL 37 8 23;BUCARAMANGA;SANTANDER;ALFONSO LOPEZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA TERMINAL;TV METROPOLITANA 13A 23 65 BRR CIUDAD VENECIA;BUCARAMANGA;SANTANDER;CIUDAD VENECIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLA TRR BICENTENARIO;CL 113 32 109 BRR CALDAS;FLORIDABLANCA;SANTANDER;CALDAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATEDRA SAN LUIS;AV 3 8 38 BRR SAN LUIS;CUCUTA;N. DE SANTANDER;SAN LUIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BM CIUDAD BONITA;CL 34 21 46 BRR ANTONIA SANTOS;BUCARAMANGA;SANTANDER;LA CONCORDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCO LA COMUNEROS;CR 13 16 33;SOCORRO;SANTANDER;COMUNEROS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARICHARA COLONIAL;CR 6 6 69 83 BRR CENTRO;BARICHARA;SANTANDER;BARICHARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMEJA SAN SILVESTRE;CLL 56 19 51 LC 1;BARRANCABERMEJA;SANTANDER;TORCOROMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA PEDREGOSA;CR 33 94 28 BRR PORTOFINO;BUCARAMANGA;SANTANDER;PEDREGOSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMGA COLORADOS;TV 21 52N 38 BRR COLORADOS;BUCARAMANGA;SANTANDER;Colorados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBMEJA YARIMA;CLL 37 36 171 BRR YARIMA;BARRANCABERMEJA;SANTANDER;yarima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN GIL INDUSTRIAL;CLL 22 9 57 BRR LA INDUSTRIAL;SAN GIL;SANTANDER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCTA AVENIDA QUINTA;AV 5 5 44 BRR EL CENTRO;CUCUTA;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCT AVENIDA CERO;AV 0 1N 35 URB QUINTA BOSH;CUCUTA;N. DE SANTANDER;LOS PINOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VROSAR VI•EDOS;LT 2 SABANAS DEL ROSARIO;VILLA DEL ROSARIO;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANGIL CARRERA 9;CR 9 9 52 54 40 44;SAN GIL;SANTANDER;MARIA AUXILIADORA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA REPOSO;CL 56 14 105;FLORIDABLANCA;SANTANDER;EL REPOSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CESAR RIO DE ORO;CR 2  2 08 BRR RIO DE ORO;RIO DE ORO;CESAR;RIO DE ORO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V ROSARIO MAYORISTA;VILLA NECO I;VILLA DEL ROSARIO;N. DE SANTANDER;Villa del rosario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A LIBANO;CL 7  56 276 BRR EL LIBANO BD 02;OCA•A;N. DE SANTANDER;EL LIBANO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
